mesto,ocena,ime,kategorija,objave,vpisani,ogledi 
1246,A-,MostAmazingTop10,education,3055,5.81,1820306183
1247,A-,RCM Music Bhojpuri,music,7074,5.81,1722543990
1248,A-,Amixem,games,535,5.81,1289226119
1249,B+,ToysYJuguetesTV,entertainment,1080,5.8,1934954246
1250,B,LOLiTO FDEZ,games,911,5.8,670132005
1251,B+,Gregory Kessey,entertainment,146,5.79,271934771
1252,A-,elcarteldesantatv,music,279,5.79,2342803179
1253,A,BabyBus - Cerita &amp; Lagu Anak-anak,,165,5.8,1785805035
1254,A-,Funny Vines,people,79,5.79,1731200517
1255,B+,Be Inspired,education,105,5.79,258404187
1256,D-,Kid Studio,entertainment,943,5.78,2970528699
1257,A,Zee Tamil,entertainment,42284,5.78,3430214720
1258,B+,Pabllo Vittar,music,78,5.77,1103472305
1259,A-,Universe Adventure,education,278,5.78,754410190
1260,B+,Katie OnTheRoad,people,284,5.76,401684103
1261,A,Hindi Fairy Tales,,202,5.76,1882612844
1262,A,OYUNCAKOYNUYORUM,entertainment,630,5.76,3344350975
1263,B+,Sơn Tùng M-TP Official,music,81,5.76,1287028449
1264,A,خليجية,entertainment,14640,5.76,3976682357
1265,C+,VEGA Book - Nursery Rhymes,education,23,5.76,242869
1266,A,Mother Goose Club,education,862,5.75,6785751273
1267,B+,DaiFiveTop,entertainment,1698,5.75,1869539322
1268,B+,قناة المجلة,entertainment,992,5.75,964854061
1269,B+,Coby Persin,comedy,101,5.75,1032204848
1270,B+,Vanh Leg,entertainment,62,5.76,1280295192
1271,A-,"せんももあいしーCh Sen, Mo…",people,2713,5.74,5208542164
1272,A,Power Rangers Official,entertainment,3593,5.74,5253169378
1273,A,TeluguOne,people,36313,5.75,3507004815
1274,A,NDTV,news,80258,5.75,1970820991
1275,B,SurpriseJoe,entertainment,112,5.74,1556319199
1276,B+,Mini Ladd,games,1318,5.74,1345515508
1277,A-,NAGASWARA Official Video | Indones…,music,1375,5.74,2617455258
1278,A-,alanzoka,games,2811,5.74,1019037449
1279,A-,Frost Diamond,games,840,5.74,993542700
1280,B+,Pagode da Ofensa na Web!,comedy,191,5.73,612962545
1281,B+,Dessin Animé pour Enfants,,36,5.73,1729942427
1282,B+,AVRprankTV,entertainment,82,5.73,617093758
1283,A,Mother Goose Club Playhouse,education,915,5.72,6533133373
1284,A-,AWESMR kids,entertainment,2271,5.72,3954319018
1285,B+,Kabita's Kitchen,howto,714,5.72,868544390
1286,B+,Alltime10s,education,1824,5.72,2221865644
1287,A-,DjMaRiiO,games,2305,5.72,1796723685
1288,B,Taciele Alcolea,entertainment,1348,5.71,684044919
1289,B+,FaZe Apex,entertainment,1830,5.71,1033702545
1290,A-,ICC,sports,2468,5.71,1326537391
1291,B+,BibisBeautyPalace,howto,779,5.7,2428955780
1292,A-,PineappleStormTV,music,162,5.7,1435188539
1293,D-,Venus Bhojpuri,,494,5.69,1354591247
1294,B+,Vikkstar123,games,4642,5.69,1642612524
1295,B+,YourHealth,howto,450,5.69,515517446
1296,A-,Carter Sharer,entertainment,229,5.69,1052545793
1297,B,Juan Pablo Jaramillo,people,324,5.67,371986838
1298,B,MrMrSnB2,people,294,5.67,607036480
1299,D-,HAR PAL GEO,entertainment,9066,5.67,2762244010
1300,B+,ChrisFix,autos,321,5.67,803138392
1301,B,Zara Larsson,music,43,5.67,95637010
1302,A,The Daily Show with Trevor Noah,comedy,1777,5.66,2134444220
1303,B+,Cute Girls Hairstyles,entertainment,618,5.66,1208317178
1304,A-,BreakMan,entertainment,282,5.66,846715273
1305,A-,Cartoon Network LA,entertainment,1964,5.66,1405202462
1306,B+,devinsupertramp,entertainment,311,5.65,1313147990
1307,A-,Rawan and Rayan,people,483,5.65,1555939058
1308,B+,The Timeliners,entertainment,239,5.65,647340774
1309,A-,Julien Bam,entertainment,248,5.65,1335857472
1310,A,Stacy Show,,112,5.64,1585352538
1311,B+,5 Alguma Coisa,comedy,415,5.64,1285650151
1312,A-,jesseyjoyoficial,music,190,5.63,3174239310
1313,A,เรื่องเล่าเ�…,news,70627,5.64,3634441749
1314,A-,DeGoBooM,games,1898,5.62,1651131420
1315,A-,Jugnu Kids - Nursery Rhymes and Be…,education,448,5.62,2169196653
1316,A-,Oum Walid,education,962,5.62,1218843410
1317,B,Projota,music,3,5.61,73857572
1318,A-,مصطفى GAME OVER,games,663,5.61,1531354155
1319,B,FaZe Adapt,people,1452,5.6,1152526357
1320,A,BBC Earth,animals,1634,5.59,1741537444
1321,A-,Reynmen,entertainment,35,5.59,741727948
1322,B+,Netflix Brasil,entertainment,1372,5.59,233396959
1323,A-,Kevinho,music,48,5.58,537860979
1324,A-,Troom Troom SELECT,,759,5.58,1480505024
1325,A-,Pipe Cleaner Crafts B,howto,322,5.58,1783454305
1326,B+,Lance Stewart,entertainment,1027,5.57,1414727619
1327,B+,SnoopDoggTV,people,1475,5.57,835755537
1328,B+,INNA,music,780,5.57,3165415692
1329,A-,Gorillaz,music,172,5.57,2078035564
1330,B-,Cameron Dallas,people,21,5.56,35647032
1331,B+,RaeSremmurdVEVO,music,50,5.55,3373438634
1332,B+,Guinness World Records,entertainment,1795,5.55,1346098136
1333,A-,HTV Entertainment,entertainment,12850,5.55,3164951968
1335,B+,VIRAL,entertainment,720,5.54,1303512136
1336,B,Dosogas,comedy,453,5.54,1055088107
1337,B+,Andrea Zuñiga,entertainment,69,5.54,192169785
1338,B+,SeaNanners Gaming Channel,games,1839,5.54,2586203768
1339,B+,Yoga With Adriene,howto,508,5.54,459053543
1340,B+,SoyFredy,people,302,5.53,840658972
1341,B-,John Legend,film,156,5.54,19466641
1342,A-,Ice Cream Rolls,entertainment,469,5.54,567018649
1343,B+,Toys Kids TV,education,25,5.52,1165644584
1344,B+,Saskia's Dansschool,sports,285,5.52,1425634070
1345,A-,Shady Srour,entertainment,131,5.51,1336923387
1346,B,Ayurved Tips in Hindi,howto,180,5.51,388065002
1347,A-,➜FavijTV™,games,2206,5.51,3178533272
1348,A-,المربد _ قف للتحشيش,people,232,5.5,1259015110
1349,B,Mr. Tops,entertainment,297,5.5,633319405
1350,A,Codiscos,music,6089,5.5,3984364304
1351,B+,The Key of Awesome,comedy,1100,5.5,3237689215
1352,B+,Gelli Clash,games,1774,5.5,842025665
1353,A-,RK Duggal Studios,entertainment,707,5.5,1285648795
1354,B+,Shroud,games,764,5.51,545654470
1355,A,Diana Play,,94,5.5,1332914125
1356,A-,OHA diyorum!,entertainment,2615,5.5,3234163730
1357,A-,Shruti Arjun Anand,howto,769,5.49,848386822
1358,A,Oyuncak Avı,entertainment,505,5.48,4908695790
1359,B+,Dynamo Gaming,games,1064,5.48,363208964
1360,A,O Reino Infantil,music,484,5.48,3101549537
1361,B,patty dragona,entertainment,1237,5.48,713342413
1362,A-,Knowledge Tv हिन्दी,education,431,5.47,582459183
1363,B,Zedd,music,103,5.47,132079416
1364,A-,FAMA JAMA,,56,5.47,1246464917
1365,B-,Kanye West,people,6,5.48,14891524
1366,B+,alpha m.,howto,1139,5.47,810494668
1367,A-,Binging with Babish,entertainment,254,5.47,914279617
1368,A,Maya and Mary [EN],entertainment,148,5.46,1970835692
1369,B+,Cronosplays,games,2828,5.46,768307764
1370,B,ckan98,music,123,5.46,218933370
1371,B-,AC/DC,music,101,5.46,30476336
1372,B+,Canal Clash War,games,1310,5.46,464461634
1373,C+,Mark Ronson,music,18,5.46,5019649
1374,A-,Naiara Azevedo,music,128,5.46,1742440723
1375,B+,Ingrid Ohara TV,comedy,290,5.45,329709199
1377,B+,SECRET INDIAN TV,,608,5.45,499598988
1378,B+,Passenger,music,230,5.45,3046653775
1379,B+,How Ridiculous,sports,256,5.44,820119238
1380,B+,TheSaudiReporters | سعودي ر�…,comedy,212,5.43,889321771
1381,B+,TheSoundYouNeed,music,356,5.43,2338337943
1382,B,FaZe Banks,entertainment,177,5.43,391725797
1383,A-,Los Juguetes Son Divertidos,entertainment,59,5.42,942070103
1384,A,CamilaCabelloVEVO,,37,5.42,3786365384
1385,A,kevingatesTV,music,296,5.42,3846937887
1386,B+,DramaAlert,news,1018,5.42,1168629607
1387,A-,Paulinho e Toquinho,entertainment,768,5.41,2633684842
1388,A,Zee Telugu,entertainment,72331,5.41,3347480718
1389,B+,bysTaXx,games,3361,5.41,1110213828
1390,B+,JuStYosS,entertainment,649,5.41,642322172
1391,B,Maisa Silva,entertainment,170,5.41,164127954
1392,A-,loveliveserve,entertainment,574,5.4,973132270
1393,A-,ChuChuTV Surprise Eggs Learning Vi…,education,107,5.4,2831716736
1394,A,NFL,sports,16871,5.4,3371396488
1395,A-,Ludmilla,music,96,5.39,1381751530
1396,A-,Сыендук,entertainment,212,5.39,1056858276
1397,A-,Tri-line,entertainment,486,5.39,1247532738
1398,A,KanalD,entertainment,15015,5.39,7340385491
1399,B+,Julio Cocielo,entertainment,54,5.39,180415936
1400,A,Lady Diana,entertainment,388,5.39,2019298708
1401,A-,tanboy kun,entertainment,234,5.39,679086591
1402,A,5-Minute Crafts TEENS,,761,5.39,1108795558
1403,A-,BBC News,news,10608,5.39,1335645002
1404,A,Pen Multiplex,film,1392,5.37,1884031608
1405,A-,Esporte Interativo,sports,25400,5.37,1206083859
1406,B,KygoMusic,music,22,5.37,461032883
1407,A-,Goldmines Movies,film,194,5.37,399171445
1408,B+,Kenia Os,,82,5.36,279255736
1409,B+,Yuka Kinoshita木下ゆうか,entertainment,1784,5.36,1909688529
1410,B+,Carolina Díaz,entertainment,99,5.37,306910212
1411,A,ĐÔNG TÂY PROMOTION OFFICIAL,entertainment,7350,5.36,3226947381
1412,B,Aruan Felix,entertainment,600,5.36,305264198
1413,B-,ConnorFranta,people,354,5.36,431270234
1414,B,AlexXxStrecci,entertainment,459,5.35,639952087
1415,A-,Shemaroo Comedy,comedy,1090,5.35,1426128881
1416,B,Rainbow Learning,entertainment,937,5.34,2221037103
1417,B,Área Curiosa,entertainment,276,5.34,363621918
1418,B+,HEARTROCKER,games,1247,5.34,1462170348
1419,B+,Brandon Rogers,comedy,173,5.34,859039381
1420,A-,iGAMING TV,games,52,5.34,1314594054
1421,B+,Keyblade,music,289,5.34,1848441152
1422,A-,WIRED,entertainment,2937,5.34,1571378162
1423,B+,Fitz,games,149,5.33,549803997
1424,A-,TheAtlanticCraft,games,3211,5.33,2367146663
1425,B+,PONY Syndrome,howto,135,5.33,294752708
1426,A,OGGY,film,565,5.34,2524307581
1427,B+,CartoonKiDS BR,entertainment,1653,5.33,1780308680
1428,B+,Elvish yadav,comedy,95,5.32,394394927
1429,B+,Melliart,entertainment,59,5.32,753214989
1430,B,FaZe Rain,entertainment,1674,5.31,1026758513
1432,B,Thalia,music,108,5.3,41480248
1433,A,Disney Junior,entertainment,1812,5.3,3947540342
1434,B+,Rubius Z,comedy,82,5.3,248091407
1435,B+,Kronno Zomber,music,231,5.3,797050300
1436,B+,Dom TV,,172,5.29,1364187430
1437,B,whatthechic,howto,455,5.29,457290524
1438,A-,Yudist Ardhana,entertainment,600,5.28,772213301
1439,B,TheOfficialLoganPaul,comedy,42,5.28,575442741
1440,A-,HeHaa TV,entertainment,526,5.28,2078515486
1441,A-,أسرار لم تكن تعرفها,education,682,5.28,899868972
1442,A-,BETO GAMER,games,2427,5.28,1070043800
1443,A-,gameranx,games,2048,5.28,1650893588
1444,B,Mister V,comedy,38,5.28,396341133
1445,A-,The Voice Global,entertainment,382,5.27,1283695414
1446,B,NexxuzHD,entertainment,706,5.27,1169875232
1447,A-,Painzeiro,people,269,5.27,436537422
1448,B+,Alex Flores,,33,5.27,139255346
1449,B+,Cifra Club,music,4220,5.27,1226399314
1450,A,Disney Junior LA,entertainment,1600,5.27,2932822333
1451,A-,Alex Boyko,people,563,5.26,1425422905
1452,B+,JUCA,autos,480,5.26,674779414
1453,B,Bouncing Baby TV,,40,5.26,334094574
1454,B+,Machine Gun Kelly,music,195,5.26,729269914
1455,B+,Joe Weller,entertainment,325,5.26,1047955133
1456,A+,Solnishkam,education,16,5.26,1524851558
1457,A-,CRACKS,games,161,5.25,352949318
1458,A-,KN Channel,entertainment,752,5.25,3149226898
1459,B+,MrPoladoful,games,410,5.25,510878962
1460,A-,jvnq,games,5053,5.26,1644479500
1461,A-,Manucraft,games,4160,5.25,1893672208
1462,B-,Boca Rosa,people,594,5.24,371075297
1463,A-,Slipknot,music,205,5.24,2188522031
1464,A,The Voice Thailand,entertainment,2273,5.24,3377762431
1465,B+,STORROR,entertainment,375,5.23,538417904
1466,A-,RDC Rajasthani,music,13750,5.23,2034939553
1467,A,Patati Patatá,music,353,5.23,3561455578
1468,A-,The Voice Kids,entertainment,634,5.23,2833837428
1469,D-,Matheus Mazzafera,people,1402,5.23,671158212
1470,B+,Daequan Loco,games,548,5.23,621955173
1471,A-,BanderitaX,games,969,5.23,955752627
1472,B,byViruZz,entertainment,172,5.22,364051234
1473,A-,CookingShooking Hindi,,205,5.22,412833332
1474,A-,ON Ent,entertainment,22599,5.22,1065431620
1475,A,Cleo y Cuquin - Canciones infantil…,film,206,5.22,2339503617
1476,B+,Cátia Damasceno,people,576,5.22,347973307
1477,A-,MILENINHA,entertainment,819,5.21,872783616
1478,C+,Ricky Martin,,14,5.21,285085
1479,A-,Kontor.TV,music,2003,5.21,5048785261
1480,A,T-STUDIO,howto,232,5.22,1324127621
1481,A,VikatanTV,entertainment,12579,5.21,3960798149
1482,C+,BollyHD 1080p,entertainment,37,5.2,536011
1483,A,Câmeras Escondidas Programa Silvi…,entertainment,1039,5.21,2487729525
1484,A-,Tiana Wilson,entertainment,227,5.2,1183419101
1485,A-,DJKhaledVEVO,music,67,5.2,3694367516
1486,B,SteveKardynal,comedy,44,5.2,542625100
1487,A-,Movie Talkies,entertainment,22533,5.21,3074651479
1488,A-,PojzPlaza,games,1323,5.19,996696106
1489,B+,ExplodingTNT,games,691,5.19,1422109015
1490,A-,Funk Bros,entertainment,688,5.19,802083600
1491,A-,Hero Movies 2019,people,145,5.19,712040178
1492,A-,GameGrumps,games,6982,5.19,5101268654
1493,B,Lui Calibre,games,456,5.19,579769868
1494,A-,Ghiền Mì Gõ,entertainment,561,5.19,2818586014
1495,A-,Shahid.net,entertainment,5246,5.18,2044052552
1496,B+,kemas pake z,games,483,5.18,435046183
1497,A,KidsChannel ☂️,,857,5.19,1742618691
1498,B+,TGFbro,comedy,398,5.17,966439399
1499,B+,TBNRFrags,games,1886,5.17,1041601180
1500,A-,Franco Escamilla,comedy,1097,5.17,1255773003
1501,B,Ravina Kid-Show,entertainment,44,5.17,333443356
1502,B+,Khan Academy,education,7494,5.17,1699956763
1503,A-,RCM Bhojpuri Hit,entertainment,6860,5.16,1471260688
1504,B+,Caue Moura,entertainment,567,5.16,569211132
1505,B+,Real Madrid,sports,4688,5.16,548647439
1506,A-,Tribo da Periferia,music,62,5.16,1161736743
1507,A-,Hoje é dia de Marias,people,785,5.16,1307515606
1508,B,Funny Bunny,tech,41,5.15,874884824
1509,A-,Lyna,games,3109,5.15,2052895838
1510,B+,Simon's Cat,film,218,5.15,1066964942
1511,B+,Furious Pete,entertainment,745,5.15,987296767
1512,B+,GunVsGun,entertainment,303,5.15,1875732209
1513,B,MoreAliA,games,1415,5.15,998153722
1514,B+,Research Tv India,education,341,5.15,513307203
1515,B+,Juguetes con Andre,film,689,5.13,2304043481
1516,B+,Lonrot,entertainment,130,5.13,404865630
1517,A-,Mcfly &amp; Carlito,entertainment,220,5.13,894826035
1518,A-,Anwar Jibawi,comedy,107,5.13,984017583
1519,A-,Santa Studio,entertainment,77,5.12,415561888
1520,B+,Carol &amp; Vitoria,music,200,5.12,382263008
1521,A-,BakLol Video,entertainment,143,5.12,982142933
1522,B-,Usher,music,97,5.12,49689335
1523,A-,MetallicaTV,music,1538,5.12,2519963226
1524,B+,SOBOLEV,people,214,5.12,552943246
1525,A-,Vosso Canal,people,1752,5.11,920555699
1526,A-,iggyazaleamusicVEVO,music,64,5.11,3005429346
1527,B+,JeromeASF,games,7644,5.11,1651480814
1528,A-,Antena 3,entertainment,20153,5.11,5167417353
1529,A-,PEACH EAT LAEK,people,243,5.12,623083650
1530,A-,Tamer Hosny,music,330,5.11,1542343812
1531,A-,MR. INDIAN HACKER,,370,5.12,645976516
1532,B+,RoomieOfficial,music,209,5.11,539185474
1533,A-,Super Crazy Kids,,698,5.1,2127396260
1534,A-,Netflix Latinoamérica,entertainment,1505,5.11,328599282
1535,A-,BritneySpearsVEVO,music,106,5.1,5053123166
1536,A-,MarkAngelComedy,entertainment,248,5.1,1078614056
1537,D-,GamingWithJen,games,456,5.1,991401702
1538,B,SirKazzio,entertainment,4139,5.1,986958227
1539,B,Ayo &amp; Teo,entertainment,91,5.11,326417499
1540,A-,Times Music,music,1311,5.1,1605368462
1541,A-,steveo,comedy,72,5.09,239431607
1542,B+,Ownage Pranks,comedy,509,5.09,1050381478
1543,B+,windy31,entertainment,2714,5.09,1559430397
1544,A,Zee Marathi,entertainment,71171,5.09,4018816688
1545,B+,Cimorelli,music,638,5.09,1204530828
1546,A,FAMILY BOX,people,626,5.09,3614331664
1547,B+,SHORT TIME SECRET,howto,361,5.09,451575712
1548,B+,Donna the Explorer,entertainment,146,5.1,1398281836
1549,A-,Geo News,news,43606,5.09,1176589865
1550,A-,Os Amiguinhos,film,401,5.08,1568085459
1551,A-,Lil Peep,music,29,5.08,1394523357
1552,A-,Life with Brothers,entertainment,781,5.08,1692276418
1553,B+,Gabriela Rocha,people,229,5.07,736361415
1554,A-,Mark Wiens,travel,1005,5.07,977845342
1555,A,The Royalty Family,,206,5.07,548538502
1556,B-,Alfie Deyes,entertainment,271,5.07,504205329
1557,B+,tophype,entertainment,621,5.06,507574529
1559,B+,Logan G,entertainment,232,5.06,370622156
1560,B+,JOOGSQUAD PPJT,entertainment,1062,5.06,760518863
1561,A-,Барбоскины,film,642,5.06,5386475892
1562,B+,bytarifa,entertainment,217,5.06,465461157
1563,B,Flavia Pavanelli,howto,361,5.06,280451617
1564,A-,MUEVA Records,music,34,5.06,1725331256
1565,B+,Azerrz,games,254,5.07,487692327
1566,B+,Jana Taffarel,howto,1369,5.05,362495795
1567,A-,News24,news,56336,5.05,1066302479
1568,A-,CoryxKenshin,games,1437,5.05,2135518231
1569,A,Biper y sus Amigos,music,55,5.05,1871305675
1570,A-,Magic Five,entertainment,156,5.04,432144524
1571,A-,lunacreciente,music,1620,5.04,2348684326
1572,B-,MayBaby,howto,186,5.04,366572541
1573,A-,RemexMusic,music,1195,5.04,4145159601
1574,A,WAMIndiaMovies,film,663,5.04,1207710902
1575,A-,RE - research,education,256,5.04,1079767402
1576,B+,Gerson Albuquerque,people,237,5.04,414085348
1577,B+,XpertThief,games,1771,5.03,1254171980
1578,B,HigaTV,entertainment,459,5.03,825936170
1579,B+,Tana Paul,comedy,264,5.03,719762849
1580,B-,Mariah Carey,music,85,5.03,22233635
1581,D-,DM FILMS - Scary Clowns,entertainment,31,5.02,457196410
1582,A,Toymong tv 토이몽TV,entertainment,1277,5.02,1989761907
1583,A,SagaHits,music,2209,5.02,1866876834
1584,B,SHAYTARDS,entertainment,2715,5.02,2831499737
1585,A-,Yair17,games,580,5.01,406531573
1586,A-,Bryant Myers,music,51,5.01,1229602863
1587,B+,Sernandoe,games,1405,5.0,695866360
1588,A,Ceylin - H Official,entertainment,339,5.0,2247008068
1589,A-,ДНЕВНИК ХАЧА,people,239,5.0,786193909
1590,B+,CasalDeNerd,games,2914,5.0,1440754399
1591,A,Blippi Toys,entertainment,122,4.99,3813565238
1592,A-,GamingWithKev,games,1719,4.99,2565733217
1593,B-,Rainbow ToyTocToc,howto,2,4.99,362878
1594,A,M2,entertainment,9275,4.99,2699633401
1595,B+,Le Rire Jaune,comedy,134,4.99,885962464
1596,B+,Tata Pereira,people,1032,4.99,386153097
1597,B,Household Hacker,entertainment,497,4.99,896558218
1598,A-,Christina Perri,music,115,4.98,2402124621
1599,A-,bharatzkitchen HINDI,howto,259,4.98,557635168
1600,B+,Katya Adushkina,entertainment,409,4.98,636409811
1601,B,Desiigner LOD,music,34,4.98,648380442
1602,B+,DashieGames,games,2470,4.98,2133183904
1603,B+,The School of Life,education,735,4.98,467718603
1604,B,Mahatmaji Technical,education,512,4.97,234608588
1605,D-,realnollywoodclipss,entertainment,788,4.97,25167300
1606,B,RobTopGames,games,34,4.96,222544496
1607,D-,Venus Regional,music,2513,4.96,1247449703
1608,A-,Bolly Kick,film,423,4.96,1401409611
1609,B+,YG ENTERTAINMENT,music,418,4.96,1402969137
1610,B+,Marisolpink,howto,374,4.96,566560605
1611,A-,Carinha de Anjo,entertainment,1876,4.96,2318180601
1612,B+,DaveHax,howto,402,4.95,1644656401
1613,A-,"Kids, Toys &amp; Adventures",entertainment,192,4.95,1376498068
1614,B+,Maneirando,entertainment,246,4.95,361621985
1615,A-,DIEN QUAN Comedy / Hài,entertainment,3417,4.94,3284530146
1616,A-,animasinopal,comedy,44,4.95,304506758
1617,A,Wow Kidz Action,entertainment,1285,4.95,1717217631
1618,A,ItsFunneh,games,1353,4.94,4188945435
1619,A,ExtremeToys TV,entertainment,251,4.94,2829982127
1620,A-,Nirahua Music World,music,512,4.93,2508957810
1621,A-,دستور DSTOR I,entertainment,275,4.93,613638180
1622,A,BlackStarTV,music,281,4.92,1430985906
1623,B+,Insider,travel,6864,4.93,2458484089
1624,B+,LilWayneVEVO,music,40,4.92,2740923153
1625,A,Zach Choi ASMR,people,408,4.93,711892160
1626,B+,Natoo,comedy,96,4.92,715222395
1627,B+,Top Trending,entertainment,788,4.92,1659492190
1628,A-,Trimurti,music,3483,4.91,1935028822
1629,A-,ImJayStation,people,648,4.91,1038204556
1630,B,zSHOWz,entertainment,230,4.91,667578652
1631,A-,SkizzTV,games,1612,4.91,1162059366
1632,A-,avex,music,14222,4.91,7654981576
1633,B+,Алёна Венум,people,224,4.91,734779279
1634,A-,Daily Bumps,people,2226,4.91,3598031829
1635,A,Flowers Comedy,entertainment,5031,4.91,3628647011
1636,A,Julia MineGirl,games,1611,4.91,3061579616
1637,B,nomegusta,entertainment,211,4.9,232279195
1638,A,Shree Jee - Bhakti,music,606,4.9,886719260
1639,D-,uJoãozinho,entertainment,226,4.9,291314000
1640,B+,blndsundoll4mj,people,2452,4.9,1682722143
1641,B+,Vinheteiro,entertainment,454,4.89,505735432
1642,B+,Health &amp; Beauty Tips- Gharelu Nusk…,education,215,4.89,488930131
1643,A,Lizos Music,music,331,4.89,5451059130
1644,A,Shalimar Telugu &amp; Hindi Movies,entertainment,75720,4.89,3462414696
1645,B+,Tavo Betancourt,,68,4.89,198904261
1646,B+,Spok,entertainment,4358,4.89,532241568
1647,A-,YAPYAP,entertainment,2272,4.89,2953569535
1648,B+,Salva,games,308,4.88,454082372
1649,A-,Looper,entertainment,2663,4.88,2787942794
1650,A-,Premium Digiplex Movies,film,303,4.88,1730653508
1651,B+,Gronkh,games,12209,4.87,3053374680
1652,C+,Mega Kids Tv,entertainment,36,4.87,7703686
1653,D-,ToyMart TV,entertainment,408,4.87,2197915854
1654,B,Rockstar Games,games,254,4.87,566477327
1655,B,SixPackAbs.com,howto,599,4.86,569763514
1656,A,عائلة فيحان,entertainment,766,4.86,3408207498
1657,B+,Paulettee,entertainment,560,4.86,479580700
1658,B+,MoreJStu,people,1403,4.86,990638148
1659,B+,Zoe Sugg,people,528,4.86,826674873
1660,A-,Aphmau,games,3002,4.86,2826377619
1661,A,Dr. Phil,entertainment,9240,4.86,3947908681
1662,B,BINBIN,,29,4.85,301311127
1663,A-,ALL THE K-POP,entertainment,10788,4.85,2453750803
1664,B+,Official World of Dance,entertainment,6609,4.85,1022285116
1665,A-,Music Al Haneen | ميوزك ال�…,music,1129,4.85,1751296786
1666,B,Çizgi Film Oyuncakları,,50,4.85,1331167536
1667,B+,حول العالم 2,film,1196,4.85,566681567
1668,B,BaixaMemoria,games,2123,4.85,569004705
1669,A-,Al Nahar TV,entertainment,46065,4.84,1920035103
1670,A-,콩순이・시크릿 쥬쥬 [Kong…,film,887,4.84,3359466709
1671,B+,merrelltwins,comedy,459,4.84,943160419
1672,A,Ryan's Family Review,entertainment,508,4.85,5526729383
1673,B,Madelaine Petsch,,92,4.84,141311156
1674,A-,atv,entertainment,13597,4.84,4098158734
1675,A-,Mumbo Jumbo,games,1949,4.84,1301581550
1676,B-,Pedro Capó,music,23,4.83,7320905
1677,B+,LDShadowLady,games,978,4.83,2081657229
1678,B,Soy Francisco ALV,,51,4.83,138641742
1679,B+,elmundoDKBza,entertainment,1020,4.83,759374879
1680,B+,IND News,,526,4.82,116561050
1682,A-,Red Hot Chili Peppers,music,139,4.82,3694196747
1683,A-,Chetak,music,8204,4.82,1890752493
1684,A,TV Thunder Official,entertainment,10009,4.82,2681279315
1685,A,Quantum Tech HD,tech,291,4.82,1385348488
1686,B+,d7oomy_999 | دحومي٩٩٩,games,920,4.81,720483635
1687,B,minutephysics,tech,243,4.81,420734717
1688,A-,GunsNRosesVEVO,music,39,4.8,4536471689
1689,B,whatdafaqshow,comedy,615,4.81,706653123
1690,A-,The Dodo,animals,5241,4.81,2148307399
1691,B,Los mejores Top 10,entertainment,477,4.81,603746491
1692,D-,Martinez Twins,entertainment,204,4.8,427890489
1693,B+,Malcriado,,82,4.8,192688254
1694,A,AlArabiya العربية,people,63900,4.8,2212563485
1695,B-,Donald Glover,music,6,4.8,57615566
1696,A-,The Official Gummibär Channel,film,412,4.8,4079106907
1697,A-,InquisitorMaster,games,905,4.8,1516888085
1698,B+,Flakes Power,games,1011,4.8,705608171
1699,A-,Фиксики,shows,730,4.79,4837124629
1700,B+,اغرب,entertainment,1040,4.79,721595997
1701,B,Manny Mua,howto,435,4.79,472355887
1702,A-,Ultra Regional,entertainment,2709,4.79,1392446029
1703,B,Nilson Izaias Papinho Oficial,people,114,4.79,38200907
1704,A,MikelTube,entertainment,670,4.79,2889279375
1705,B+,Adam Saleh Vlogs,people,2076,4.79,1409794094
1706,B+,D4rkFrame,entertainment,443,4.78,707173518
1707,A,СТС,film,8511,4.78,3268550877
1708,B,Celso Portiolli,entertainment,134,4.78,133255541
1709,B+,Crainer,games,2362,4.78,1050200731
1710,A-,Khandesh Fun,entertainment,110,4.79,1050377179
1711,A,Unspeakable,games,355,4.78,1195059081
1712,B,El Super Trucha,,61,4.77,170810133
1713,A,TLC,entertainment,6781,4.77,3699730400
1714,A,東海オンエア,comedy,1432,4.77,4796297224
1715,A,Bhojpuri Movies,film,442,4.78,1509045177
1716,B+,FitDance Life,music,583,4.77,1005843014
1717,B+,قناة الشيخ كشك,entertainment,3774,4.77,1048315796
1718,B,Fall Out Boy,music,52,4.76,43788227
1719,A,Лунтик,film,870,4.76,8071558755
1720,B+,WIIFEROZ,games,1705,4.76,895333922
1721,A-,XtremeGamez,entertainment,134,4.76,343526207
1722,B+,RosyMcMichael,howto,1244,4.77,813873704
1723,B+,Clone,entertainment,885,4.76,381203383
1724,A,Sony AATH,entertainment,4570,4.76,2570917227
1725,A-,DubstepGutter,music,935,4.76,1211214403
1726,A-,Massi,games,2842,4.75,1433628207
1727,A,JerryRigEverything,howto,708,4.75,831104218
1728,B+,AASTIK - Spiritual Secrets,,351,4.75,290408379
1729,B+,Hardwell,entertainment,868,4.75,949362241
1730,B+,Cosculluela El Principe,music,78,4.75,1658627014
1731,B+,Prestige Clips,games,601,4.75,986547116
1732,B+,Your Ayurveda Tips,,364,4.75,310047929
1733,A,Rathore Cassettes,entertainment,3258,4.76,1696277094
1734,D-,Freak Family Vlogs,entertainment,1,4.74,60314
1735,A-,PHD Troll,entertainment,511,4.74,2037671228
1736,A-,Little Miss Sofia,entertainment,107,4.74,907036036
1737,A-,Deli Mi Ne?,people,218,4.74,669280156
1738,B+,Porta,music,205,4.74,698130171
